title_id,title_name,image,category,first_played_date_time,last_played_date_time,play_count,play_duration
CUSA07028_00,For Honor,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05264_00/2/i_e6ab917b766cfda7b368e5ab4d2e386de33b4886b4e181efa8ce35dec7f18ed9/i/icon0.png,PlatformCategory.PS4,2017-02-13 11:08:25.820000+00:00,2017-02-13 16:49:06.570000+00:00,2,0 days 00:03:10
CUSA02646_00,This War of Mine: The Little Ones,https://image.api.playstation.com/vulcan/ap/rnd/202011/0213/ZF6clw5XkbWD7iuvVllr6fhz.png,PlatformCategory.PS4,2017-01-25 12:51:27.660000+00:00,2017-01-25 12:51:27.660000+00:00,1,0 days 00:14:13
CUSA05282_00,Call of Duty®: Infinite Warfare,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05282_00/2/i_0c05cf0c4b4f8af425c718faed3ee943fd87e5d5cf51e7e1fc8f26ffc29a2627/i/icon0.png,PlatformCategory.PS4,2016-12-19 11:07:03.330000+00:00,2016-12-21 10:36:33.350000+00:00,8,0 days 06:12:39
CUSA04294_00,WATCH_DOGS® 2,https://image.api.playstation.com/cdn/UP0001/CUSA04459_00/qBxvfDJJ9dbavai6xsWOcWaxRDGRb7h0.png,PlatformCategory.PS4,2016-11-14 15:55:22.600000+00:00,2016-12-08 14:46:46.800000+00:00,45,2 days 01:06:34
CUSA06046_00,WORLD OF FINAL FANTASY,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA04548_00/2/i_a47e4990709b55d5d32aa862a0007f07b4bcd0f88fee43e0ab1b32ca1bb12862/i/icon0.png,PlatformCategory.PS4,2016-12-07 13:05:51.680000+00:00,2016-12-07 13:05:51.680000+00:00,1,0 days 00:02:15
CUSA06593_00,STEEP,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05526_00/2/i_c8094d5d5778a7deb586d35a39a606beec8e8faf120802182960a69a51fcd45a/i/icon0.png,PlatformCategory.PS4,2016-11-18 15:25:26.280000+00:00,2016-11-23 17:25:14.860000+00:00,10,0 days 04:17:31
CUSA05378_00,Call of Duty®: Infinite Warfare,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05282_00/2/i_0c05cf0c4b4f8af425c718faed3ee943fd87e5d5cf51e7e1fc8f26ffc29a2627/i/icon0.png,PlatformCategory.PS4,2016-10-21 05:38:02.830000+00:00,2016-10-24 10:48:09.390000+00:00,7,0 days 02:48:42
CUSA00633_00,Battlefield™ Hardline,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00633_00/5/i_972f4d4cac23c4d5f584b2b527941d53a8c9df80935c3e564622013c3e989135/i/icon0_01.png,PlatformCategory.PS4,2016-07-22 14:56:03+00:00,2016-10-20 09:52:17.980000+00:00,66,2 days 09:24:06
CUSA05519_00,FIFA 17,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA03214_00/3/i_cd00abb73fe3462759baa4e79ed52d7f4c7f4940ef53c2e1f3a74adb66af71c7/i/icon0_01.png,PlatformCategory.PS4,2016-09-23 16:39:40.900000+00:00,2016-09-25 14:58:24.200000+00:00,2,0 days 00:40:52
CUSA05244_00,Battlefield™ 1,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02387_00/4/i_4f0735372ec946403df8905f3f520cfcec79b433a7fe90758500a025c3401d34/i/icon0_01.png,PlatformCategory.PS4,2016-08-31 11:30:14+00:00,2016-09-08 13:56:18.770000+00:00,23,0 days 17:03:50
CUSA02126_00,FIFA 16,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA02126_00/4/i_eaaff46a4916aa5c7ad26991c535ad5cf668ab1c56f4e1daa658e5499dcb8383/i/icon0.png,PlatformCategory.PS4,2015-09-30 18:44:00+00:00,2016-08-31 10:34:00.930000+00:00,51,1 days 08:18:08
CUSA06087_00,Titanfall™ 2,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA04013_00/2/i_836b5bbd7a8d122c6f8829b90b1d26565468b822a9470987764b9ed15a509cb5/i/icon0.png,PlatformCategory.PS4,2016-08-28 10:42:30+00:00,2016-08-29 11:08:08.340000+00:00,4,0 days 21:35:35
CUSA04514_00,FINAL FANTASY XV,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01615_00/5/i_d0fdf4ae434e480b9536662f48df7f7180a4c75a96f410c97c76e3bd5f4ef27e/i/icon0.png,PlatformCategory.PS4,2016-07-12 15:36:15+00:00,2016-07-12 15:36:15.380000+00:00,1,0 days 00:19:15
CUSA01210_00,Trackmania Turbo,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01210_00/6/i_d0b1607bc07a416ce656360c9dff11b19f32b4831403073b5b45a605378d01b5/i/icon0.png,PlatformCategory.PS4,2016-04-01 11:12:34+00:00,2016-07-12 12:01:01.530000+00:00,9,0 days 01:28:38
CUSA00917_00,UNCHARTED: Legacy of Thieves Collection,https://image.api.playstation.com/vulcan/ap/rnd/202111/2000/gTUWTlvPHzxFJ2JAxtDyI2eS.png,PlatformCategory.PS4,2016-05-10 15:31:25+00:00,2016-07-07 12:52:49.690000+00:00,24,1 days 00:11:04
CUSA00016_00,WATCH_DOGS™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00016_00/3/i_36e2b7c37c766c3c8028a3740918af1bec0cd873f2583ffc0264aeae38683cca/i/icon0.png,PlatformCategory.PS4,2014-05-28 15:44:36+00:00,2016-06-23 16:31:21.450000+00:00,143,4 days 14:26:12
CUSA00634_00,STAR WARS™ Battlefront™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00634_00/3/i_bd22c9c5ff495c10c426c43b96fdbaf5766a8c7cf9cb11996283ced3402d9292/i/icon0_01.png,PlatformCategory.PS4,2015-11-19 15:08:13+00:00,2016-06-23 09:04:52.360000+00:00,77,2 days 04:23:39
CUSA03396_00,LEGO® STAR WARS™: The Force Awakens,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA03397_00/2/i_aa926e49cd08015c3a5fb80ea0c53ef324806f5e3f4a537d8d656ad467ea242d/i/icon0.png,PlatformCategory.PS4,2016-06-14 16:33:36+00:00,2016-06-14 16:33:36.041000+00:00,1,0 days 00:21:06
CUSA00572_00,SHAREfactory™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA00572_00/1/i_99aead44fb123c33d54eb72b03da03dddad97986111533b2f5007b3cfca8eebd/i/icon0.png,PlatformCategory.PS4,,2016-05-20 11:00:18.010000+00:00,2,0 days 00:02:18
CUSA04961_00,Overwatch 2 – Season 8: Call of the Hunt,https://image.api.playstation.com/vulcan/ap/rnd/202312/0122/2b0669127d98eaadc96adc0af0e618e787d1cd0626b72156.png,PlatformCategory.PS4,2016-05-07 09:20:17+00:00,2016-05-11 15:42:46.096000+00:00,8,0 days 03:38:59
CUSA01262_00,Tom Clancy's The Division™,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA01262_00/3/i_e6d232ba4d068e89ed9de881fa1fa3939d7e3d00a77bcd43ad652f4bd3f1029d/i/icon0.png,PlatformCategory.PS4,2016-03-08 13:25:56+00:00,2016-03-31 14:32:00+00:00,38,2 days 11:45:33
